name,B cells,Monocytes,NK cells,T cells
Monocytes_PB265,0.15242079,0.2768942,0.20329548,0.15928265
T cells_PB266,0.19415085,0.19302934,0.20985202,0.20978458
NK cells_PB267,0.20260637,0.19916598,0.20852217,0.19760172
B cells_PB268,0.22414361,0.20309055,0.19892894,0.18256287
B cells_PB269,0.20237236,0.22211212,0.20045702,0.18434456
B cells_PB270,0.19805187,0.20385423,0.20772411,0.19748794
NK cells_PB271,0.18314224,0.19625467,0.23482443,0.19699351
Monocytes_PB272,0.15915963,0.27136886,0.19735812,0.16704248
NK cells_PB273,0.18592267,0.20531602,0.23108353,0.18891121
T cells_PB274,0.18465964,0.1859823,0.2076887,0.23444693
T cells_PB275,0.20271307,0.2020091,0.2078215,0.19772114
T cells_PB276,0.1791601,0.1967666,0.21090107,0.22491424
Monocytes_PB277,0.1641251,0.27529272,0.19094616,0.16398418
B cells_PB278,0.21063685,0.2268217,0.19452709,0.17351219
B cells_PB279,0.24154115,0.17075157,0.19314052,0.19812503
B cells_PB280,0.22886868,0.19908655,0.19564281,0.18104513
NK cells_PB281,0.1981963,0.17410825,0.24344207,0.18961497
NK cells_PB282,0.18142737,0.21913339,0.21727942,0.19179578
T cells_PB283,0.17835884,0.21570309,0.22493774,0.18983297
B cells_PB284,0.17297412,0.23523186,0.21092926,0.18942857
B cells_PB285,0.21485496,0.20580798,0.20902352,0.1769424
B cells_PB286,0.17419857,0.22449663,0.21111943,0.19968781
B cells_PB287,0.21102008,0.19108182,0.20292187,0.20595537
NK cells_PB288,0.20243062,0.19959779,0.20778504,0.20106459
NK cells_PB289,0.18496378,0.21791601,0.22107713,0.18836865
T cells_PB290,0.19718203,0.19768932,0.20591,0.2053664
NK cells_PB291,0.19123328,0.2375586,0.19504721,0.18730864
T cells_PB292,0.18434562,0.2264506,0.21910654,0.18155798
T cells_PB293,0.20087773,0.18975388,0.20671953,0.21330665
T cells_PB294,0.18327339,0.21569099,0.21176715,0.20035814
Monocytes_PB295,0.18692811,0.21660773,0.21781337,0.1883642
NK cells_PB296,0.1771719,0.193578,0.24130592,0.19716273
Monocytes_PB297,0.18324654,0.25324553,0.1993969,0.16524456
Monocytes_PB298,0.19362791,0.21724978,0.22096314,0.17825602
NK cells_PB299,0.19995657,0.19649825,0.21406175,0.19930772
NK cells_PB300,0.20513083,0.20418419,0.20289487,0.19999048
NK cells_PB301,0.20618072,0.23329198,0.19528396,0.17300236
T cells_PB302,0.19782972,0.19821884,0.20792788,0.20467165
NK cells_PB303,0.1725348,0.21507743,0.2202449,0.20507036
B cells_PB304,0.24228439,0.18478814,0.19912577,0.17435208
Monocytes_PB305,0.17349707,0.25645623,0.2035749,0.16553734
B cells_PB306,0.24669911,0.18310635,0.19537781,0.17624032
NK cells_PB307,0.18455869,0.21462083,0.21494004,0.19337319
Monocytes_PB308,0.18832283,0.22611614,0.211302,0.1845486
NK cells_PB309,0.18227534,0.18451996,0.24371143,0.1879905
Monocytes_PB310,0.1868028,0.23019938,0.2047805,0.18840192
B cells_PB311,0.20770182,0.19645643,0.2052982,0.20119843
B cells_PB312,0.17182246,0.22584425,0.21464469,0.1984578
NK cells_PB313,0.19092491,0.2233072,0.20796275,0.18986587
B cells_PB314,0.24698095,0.17890632,0.19261828,0.18461496
Monocytes_PB315,0.1589173,0.26729727,0.19854578,0.1707791
T cells_PB316,0.20067403,0.20349458,0.20219265,0.20301853
NK cells_PB317,0.18420139,0.22139654,0.21398485,0.19224745
NK cells_PB318,0.18333544,0.22325973,0.20747106,0.19329955
