name,B cells,DC,HSC,Monocytes,NK cells,T cells
DC_PB64,0.24651009131113408,0.5285780667747128,0.0,0.22491184191415303,0.0,0.0
Monocytes_PB65,0.08362820338828666,0.13905375218253954,0.016300960762563616,0.14402666756568616,0.00532462406538095,0.6116657920355429
DC_PB66,0.11723764120768607,0.8215084470517319,0.0,0.061253911740582104,0.0,0.0
DC_PB67,0.20836548383477346,0.47141323961316606,0.0,0.27684109817371033,0.0,0.04338017837834995
HSC_PB68,0.0,0.12016667278169976,0.6900463985156052,0.1060745199625568,0.08371240874013823,0.0
HSC_PB69,0.04286739373122279,0.16091495765621394,0.16218135363021824,0.5664338604826618,0.02481737642614417,0.04278505807353914
B cells_PB70,0.7938283716812412,0.14685484570692084,0.0,0.031016629622432627,0.0,0.02830015298940529
HSC_PB71,0.0,0.10272612480639985,0.7311872591340338,0.04609010864841865,0.07818404609945583,0.04181246131169186
DC_PB72,0.1547679558443473,0.4774335478651189,0.09256160590540037,0.18826727329296386,0.019245066402486237,0.06772455068968318
NK cells_PB73,0.20679076740887456,0.40424072134382066,1.8049443604554338e-05,0.26875262420295043,0.023291789896294192,0.09690604770445543
T cells_PB74,0.08953155887012972,0.08485111945875591,0.02033291838249938,0.20953896136757474,0.0014825854788464037,0.5942628564421939
Monocytes_PB75,0.0953901215325874,0.13575787551719526,0.014622822687402693,0.6636499745716397,0.0,0.0905792056911749
NK cells_PB76,0.07686695595267772,0.021894817930631142,0.004660512030123597,0.06978642900069254,0.7854882017587771,0.04130308332709801
Monocytes_PB77,0.0757224032246247,0.23512006624467716,0.0,0.658069633077063,0.0,0.031087897453635178
T cells_PB78,0.07602291487567314,0.1686962260277187,0.0,0.6807361747637912,7.500745955241385e-06,0.07453718358686169
B cells_PB79,0.37750300808012577,0.24183941857939575,0.0,0.348429271406434,0.0016010926722312081,0.030627209261813258
B cells_PB80,0.2432535408919807,0.22161624713952272,0.022092608161934642,0.10277450634697621,0.0,0.41026309745958583
Monocytes_PB81,0.12585005008877648,0.10635453478341358,0.011950046296217291,0.7558453688315926,0.0,0.0
Monocytes_PB82,0.06714952966478566,0.11703707971597763,0.035121712331721934,0.5843245768131645,0.0,0.19636710147435008
T cells_PB83,0.17791462562609486,0.3876701993358481,0.00853884853911009,0.24629293733152238,0.004485491721398651,0.17509789744602586
DC_PB84,0.20037405910896586,0.615368280314018,0.0,0.1842576605770161,0.0,0.0
DC_PB85,0.24877187272554838,0.7512281272744517,0.0,0.0,0.0,0.0
NK cells_PB86,0.06945212754593613,0.28003460758646975,0.0009306576306605423,0.2788865239887118,0.21115074339014117,0.15954533985808053
HSC_PB87,0.0,0.12273733493256589,0.758157037534757,0.05424642324841681,0.06485920428426015,0.0
NK cells_PB88,0.15307400375741761,0.020984409351858913,0.013997403805238982,0.0,0.5409807597495825,0.27096342333590195
B cells_PB89,0.8248671580720932,0.07789252065369241,0.0,0.0,0.0,0.09724032127421421
HSC_PB90,0.0,0.25469284135549514,0.5140084936981699,0.1745254339030231,0.04221552753616159,0.014557703507150107
HSC_PB91,0.09563643190794323,0.4117933941024888,0.1394649441961273,0.3531052297934407,0.0,0.0
Monocytes_PB92,0.034177679691444716,0.2782988795199572,0.02794881540841552,0.5346234902117746,0.0,0.12495113516840804
DC_PB93,0.051205943851417995,0.9328318354402468,0.0,0.015962220708335115,0.0,0.0
HSC_PB94,0.0,0.09901373254177044,0.7125993184172017,0.1342956756500224,0.05409127339100542,0.0
DC_PB95,0.056802990949524935,0.943197009050475,0.0,0.0,0.0,0.0
Monocytes_PB96,0.12917145066735009,0.1890746175731762,0.01921059502011841,0.4117837112432753,0.005334785797557052,0.24542483969852305
HSC_PB97,0.0,0.15090436739721608,0.624153740094145,0.16457322403131178,0.06036866847732695,0.0
DC_PB98,0.3053039172236509,0.6166904514957379,0.0,0.06813816029584592,0.009867470984765373,0.0
DC_PB99,0.22579798139807244,0.5250099732676069,0.0,0.211151733241399,0.0,0.038040312092921684
HSC_PB100,0.0,0.2589277908579855,0.2118990263101674,0.25275512810473794,0.06273748859901378,0.21368056612809538
T cells_PB101,0.2741506270512349,0.18505355364449785,0.01820416885462044,0.4569087670595942,0.06568288339005275,0.0
HSC_PB102,0.0,0.11898052714019874,0.6998842047512955,0.12275071085019701,0.05838455725830869,0.0
B cells_PB103,0.3173130989357504,0.2800145231174003,0.0,0.4026723779468494,0.0,0.0
B cells_PB104,0.38416764846059714,0.2649072291929109,0.0,0.23632550639254332,0.0,0.11459961595394866
DC_PB105,0.04394591893045981,0.9180669514736447,0.0,0.037987129595895494,0.0,0.0
Monocytes_PB106,0.07031528408998812,0.30092889028063763,0.02298506446124912,0.11971914718886968,0.056489972489074704,0.42956164149018083
T cells_PB107,0.1571646275693757,0.6001364457185124,0.016319504695988973,0.22637942201612307,0.0,0.0
NK cells_PB108,0.12366375947767864,0.1023422630960924,0.0,0.0,0.6804961920127907,0.09349778541343816
B cells_PB109,0.3250856731172856,0.23819496835359155,0.0,0.2134070951385347,0.0,0.2233122633905883
HSC_PB110,0.099258423730762,0.20714441879455825,0.19292306389211786,0.12407455507249451,0.042890914664173316,0.3337086238458941
T cells_PB111,0.07339976939017301,0.11530314868820923,0.10710067902777073,0.5830014684679315,0.0019121760629291229,0.11928275836298623
HSC_PB112,0.23060704555865696,0.1517360913232137,0.26510710071342836,0.1729322104363996,0.07587547889690695,0.10374207307139434
B cells_PB113,0.8873359819432749,0.06842372661365903,0.0,0.0,0.0,0.04424029144306618
Monocytes_PB114,0.07457055303861589,0.2484930838689485,0.0,0.6769363630924357,0.0,0.0
HSC_PB115,0.0,0.1189549235642528,0.656839137206963,0.19405864425865935,0.03014729497012494,0.0
T cells_PB116,0.11133659572023057,0.06100851636751834,0.013211895296272598,0.13281919157643252,0.0,0.6816238010395459
T cells_PB117,0.0880683688246718,0.12545165790772903,0.014701612278705983,0.12306811105654952,0.045406977421007536,0.6033032725113362
NK cells_PB118,0.04859599055473875,0.10289329739526273,0.0176940140958126,0.3274240529965746,0.16854992665751087,0.3348427183001005
NK cells_PB119,0.05274521831676281,0.0,0.0,0.0,0.7043664414827642,0.24288834020047295
HSC_PB120,0.0,0.0,0.6737793696526906,0.2556221707273601,0.07059845961994948,0.0
DC_PB121,0.21702892496725798,0.7566600450226036,0.015966005665295515,0.010345024344842876,0.0,0.0
B cells_PB122,0.6648250001235493,0.19462613975604365,0.09566419544054772,0.0,0.0,0.044884664679859285
T cells_PB123,0.06862245420527562,0.25764220331301446,0.00965684069431887,0.5276404933505059,0.0,0.13643800843688517
DC_PB124,0.2318307057393886,0.43374374687289285,0.0,0.19396577280334876,0.0,0.14045977458436978
HSC_PB125,0.04455699089615325,0.2281708832454133,0.32944314914085976,0.22505808646527567,0.030337000277715465,0.14243388997458256
HSC_PB126,0.0,0.10548166817695967,0.5470391094575112,0.318610619112764,0.02886860325276502,0.0
NK cells_PB127,0.031451057175857375,0.0737137003690617,0.0,0.03199706036546776,0.6774712820495283,0.18536690004008485
DC_PB128,0.1077135242750878,0.8922864757249122,0.0,0.0,0.0,0.0
NK cells_PB129,0.05780990989559008,0.2145099810921149,0.019558947787067852,0.464175722039938,0.0,0.2439454391852892
T cells_PB130,0.13545753730186763,0.2689476101810807,0.0035642232073705466,0.4439781491752761,0.0,0.148052480134405
Monocytes_PB131,0.18438069479485775,0.29790828813756953,0.010374689694129897,0.49512361358658796,0.0,0.012212713786854882
T cells_PB132,0.050517210596327404,0.2624698611165914,0.016201923939760544,0.4657739885115464,0.03609822513562187,0.16893879070015227
T cells_PB133,0.11230928787363027,0.26229271318446545,0.028145891846371257,0.4116143137920494,0.028353124136497265,0.15728466916698636
T cells_PB134,0.09368593210137993,0.43194222295856993,0.08988712443861469,0.323347597197077,0.022446732158586783,0.038690391145771656
NK cells_PB135,0.09729400745936491,0.0,0.0017794641965348508,0.0,0.816525941492077,0.08440058685202316
T cells_PB136,0.1285513683317184,0.2232903115919362,0.030646087326611494,0.4839191863961846,0.0,0.13359304635354932
T cells_PB137,0.2213706870596771,0.19646102394440923,0.011638263029808811,0.23334828381083142,0.013894156689286986,0.32328758546598646
B cells_PB138,0.6538811616088935,0.22925767386967552,0.0,0.0011869646704016881,0.0,0.1156741998510293
HSC_PB139,0.08312960273674787,0.3564071899059589,0.37981235569977007,0.05785541411044109,0.03336832607222513,0.08942711147485699
HSC_PB140,0.0,0.07588932607291617,0.8241486226234681,0.04628050617275517,0.05368154513086054,0.0
NK cells_PB141,0.05422881207422536,0.0,0.0,0.022580149808931704,0.8299332742397659,0.09325776387707695
Monocytes_PB142,0.19461706970196407,0.4056609808767876,0.0,0.23466015851590982,0.05051870187646665,0.11454308902887195
HSC_PB143,0.0,0.10271065489840908,0.6860708746254214,0.1303510789673407,0.08086739150882871,0.0
DC_PB144,0.2670108621300754,0.7329891378699247,0.0,0.0,0.0,0.0
T cells_PB145,0.06891450925267066,0.20025947756143753,0.007458622294238597,0.5469823629566286,0.0,0.17638502793502467
Monocytes_PB146,0.1491753593787274,0.039054777967247746,0.00911144002452808,0.08440644381738244,0.0,0.7182519788121143
Monocytes_PB147,0.08533513221206088,0.23041306816675527,0.033993766750111024,0.44691271039431346,0.0,0.20334532247675938
DC_PB148,0.17209957812526458,0.7478139038704769,0.0,0.08008651800425867,0.0,0.0
NK cells_PB149,0.26594426353298234,0.3931841223994675,0.0,0.1708674632526671,0.04434255518560193,0.12566159562928123
Monocytes_PB150,0.01729184925778283,0.26581498104547696,0.030255147134950647,0.19401728095125148,0.0,0.4926207416105379
T cells_PB151,0.12595976061787295,0.0964788111081526,0.010377547368185127,0.1824140352231764,0.020680326244904356,0.5640895194377085
NK cells_PB152,0.10813352199292656,0.09308570743919674,0.014759669763400856,0.15225892099004928,0.19336254181584334,0.4383996379985833
HSC_PB153,0.0,0.1683474337320989,0.251772579404257,0.43427726868786704,0.04489913343840293,0.10070358473737408
T cells_PB154,0.18345962184111084,0.26055975726380975,0.009421128413382352,0.31882177176366533,0.005222877404231899,0.22251484331379978
Monocytes_PB155,0.08458812896428429,0.020137405180298634,0.0,0.8952744658554171,0.0,0.0
T cells_PB156,0.21044352228953564,0.33407843511932134,0.0,0.45547804259114305,0.0,0.0
T cells_PB157,0.22170952504210453,0.24977949590388362,0.0,0.4240843519555928,0.004487076936634663,0.0999395501617843
Monocytes_PB158,0.13484098856478577,0.11736780973034676,0.008850787128460417,0.692965306465777,0.0,0.04597510811063002
Monocytes_PB159,0.0765407692043245,0.13528499922695633,0.0,0.30185817933444486,0.03976950851974051,0.4465465437145339
NK cells_PB160,0.06339064170226753,0.0047887371602887046,0.0,0.026503755686384724,0.7535145386728468,0.15180232677821215
DC_PB161,0.16807650289195986,0.7087455950806009,0.0,0.12317790202743942,0.0,0.0
T cells_PB162,0.11478821850655277,0.17134857811272255,0.01733387251673284,0.3310264947528087,0.0,0.3655028361111831
