name,B cells,DC,HSC,Monocytes,NK cells,T cells
Monocytes_PB147,0.11701428491165278,0.004050036669227088,0.09767837171516744,0.5136701592251959,0.18268423149716145,0.08490291598159536
DC_PB148,0.10916475692233613,0.48807518269930883,0.05282250753448792,0.34993755284386713,0.0,0.0
NK cells_PB149,0.3571112522162081,0.0514237209079425,0.10710110993893986,0.3199648240080311,0.15982951597454917,0.004569576954329112
Monocytes_PB150,0.14929512271880227,0.30068894891149206,0.09778158249482066,0.27827871081975103,0.021491728602505075,0.15246390645262903
T cells_PB151,0.09166572327437675,0.1590006766188975,0.12485890758162073,0.2906640953118855,0.0,0.33381059721321943
NK cells_PB152,0.16324617740895073,0.026698811933671157,0.11740669230671488,0.3541255327489739,0.2475807691859072,0.09094201641578216
HSC_PB153,0.007511599777564899,0.05008385145974765,0.45425187449734117,0.30250813070512833,0.14209068016407092,0.04355386339614702
T cells_PB154,0.26531466256401454,0.12589720375179372,0.09948370729094265,0.3376293307159852,0.060861558545502945,0.11081353713176105
Monocytes_PB155,0.01131619313023029,0.1326426249872337,0.05077038968382361,0.6703416833521825,0.13492910884653,0.0
T cells_PB156,0.10032558403963657,0.2418565638328094,0.05422860539168775,0.4386890951388296,0.16490015159703664,0.0
T cells_PB157,0.0,0.12862627211888408,0.057829959456117234,0.581875441914592,0.1719766294454743,0.05969169706493259
Monocytes_PB158,0.13329648953619738,0.1392408207621077,0.10606588379745291,0.621396805904242,0.0,0.0
Monocytes_PB159,0.03273288679752849,0.2318941878152171,0.06674711426912144,0.3415640418635952,0.06988101321131154,0.2571807560432261
NK cells_PB160,0.0,0.039386038342112524,0.12377956072749373,0.04124130265996683,0.795593098270427,0.0
DC_PB161,0.16315575338305888,0.3956965847402028,0.07492155451824078,0.3498078646629048,0.016418242695592684,0.0
T cells_PB162,0.10436117511793642,0.09509948502751664,0.08622961798904442,0.5246451135713089,0.04539419603659903,0.14427041225759463
Monocytes_PB163,0.02574485682616463,0.1918137926201919,0.10303861066602044,0.4808007534097507,0.05802545581207131,0.14057653066580103
B cells_PB164,0.7161009266156472,0.07236261663296287,0.08808691530689394,0.1207186556330185,0.0,0.0027308858114776994
B cells_PB165,0.46863981152897527,0.009732804224590715,0.10932019006884584,0.2893888714945247,0.07245011804006253,0.05046820464300101
DC_PB166,0.0,0.9516376797146219,0.048362320285378,0.0,0.0,0.0
NK cells_PB167,0.021288949702679284,0.04433710406883742,0.10859948782824141,0.4359191864268701,0.38985527197337183,0.0
B cells_PB168,0.3514262631979301,0.11414840506065535,0.1178368146786659,0.2839926468422838,0.0,0.13259587022046493
NK cells_PB169,0.36737009979598384,0.0,0.10216716433075833,0.22391062514864135,0.24830377806271145,0.05824833266190499
Monocytes_PB170,0.0072980487107695766,0.03932831067340241,0.09504981186154009,0.6322962433053977,0.20236429141262455,0.02366329403626568
DC_PB171,0.0,0.9373746634297414,0.06262533657025847,0.0,0.0,0.0
B cells_PB172,0.1779996034421134,0.2149527056375345,0.07231007665194651,0.37214868796214645,0.1416190869208618,0.020969839385397523
B cells_PB173,0.7015843950330878,0.0,0.08747231551381197,0.0,0.21094328945310026,0.0
HSC_PB174,0.10147781822047854,0.20608314512807405,0.43434036780136664,0.16182777203529564,0.04676228013149124,0.049508616683293954
T cells_PB175,0.24981394920551475,0.14048098474969123,0.11582065132717081,0.4206403701829711,0.018740580370355097,0.0545034641642971
B cells_PB176,0.3489832605833495,0.08162620403770023,0.09370195388184689,0.4058645799238496,0.03688232528792524,0.03294167628532849
HSC_PB177,0.05759922661058506,0.09804308967041678,0.6370497728056788,0.18654004953031242,0.0065161028049788945,0.014251758578027981
T cells_PB178,0.1380996690911153,0.055882790549257995,0.3176414866717506,0.33535404308431743,0.1530220106035587,0.0
Monocytes_PB179,0.0,0.0,0.11254381713461553,0.7525758893950055,0.13488029347037894,0.0
B cells_PB180,0.4395106730738382,0.0878893336436046,0.08402991002816497,0.3495706826033603,0.03899940065103189,0.0
HSC_PB181,0.0,0.1716479256983982,0.5201397609451054,0.17836086082698072,0.09084014766721436,0.039011304862301345
T cells_PB182,0.34589223680893194,0.0,0.1051086959145362,0.5016350544198928,0.04736401285663919,0.0
HSC_PB183,0.06909332960363407,0.14634857716948907,0.6490151042312559,0.07161606996749566,0.04169097406139222,0.022235944966733107
T cells_PB184,0.16744217596849928,0.06787209163894722,0.11544448023110832,0.371508569569757,0.0,0.27773268259168826
HSC_PB185,0.006377034132414935,0.08951348664485993,0.4811392697597424,0.27141696030747736,0.07000579232232297,0.08154745683318243
B cells_PB186,0.8453490051198208,0.0,0.12164243624527644,0.03300855863490281,0.0,0.0
T cells_PB187,0.18350358260485675,0.07941023927999764,0.0938338189597038,0.3113484859526294,0.027843905328880123,0.3040599678739323
DC_PB188,0.015098598311556244,0.723013055172808,0.06333776712683188,0.19456893735853661,0.003981642030267175,0.0
DC_PB189,0.0,0.7314203491689726,0.03114533721836559,0.21642140375333005,0.006591749416978172,0.014421160442353724
Monocytes_PB190,0.2842006611531992,0.0,0.1258434241178098,0.46831245422581586,0.10277124893882492,0.01887221156435031
DC_PB191,0.17714242109088946,0.374512433337997,0.05736772274485263,0.33855266448686805,0.052424758339392835,0.0
Monocytes_PB192,0.01723842662056014,0.04975230283356787,0.130721252255302,0.7852682277503037,0.01701979054026632,0.0
B cells_PB193,0.9060761196445397,0.0,0.06874528643749378,0.0,0.0,0.025178593917966532
Monocytes_PB194,0.08117695917907776,0.07735197478101713,0.11252107971561838,0.6074027036409618,0.014835073292124015,0.10671220939120094
Monocytes_PB195,0.1096360176444779,0.10884816903084756,0.1210377380310349,0.4783814392547968,0.0,0.18209663603884269
B cells_PB196,0.6917384295698565,0.027906040095577973,0.11802252248782243,0.16233300784674293,0.0,0.0
NK cells_PB197,0.01910842692377875,0.01977738704823282,0.09875071401242076,0.15485539403532195,0.7075080779802457,0.0
NK cells_PB198,0.16488199405439616,0.0,0.06847682312528866,0.0,0.736835069788306,0.02980611303200918
Monocytes_PB199,0.0347325940551009,0.04086443980902826,0.11024220568660241,0.7910788633651763,0.01407903953908669,0.009002857545005436
Monocytes_PB200,0.2350611403598324,0.05870916214286744,0.13638142516420793,0.4884612807612697,0.08138699157182244,0.0
HSC_PB201,0.09034442440863409,0.04789951929356399,0.6519734390712384,0.20738605478503847,0.0023965624415252106,0.0
B cells_PB202,0.16383780086146554,0.31200272879428165,0.09223183923764806,0.3674940130605494,0.008698020745755427,0.055735597300299894
HSC_PB203,0.0,0.12162087323597488,0.3529623440645537,0.366171819754288,0.031549569497496426,0.1276953934476871
Monocytes_PB204,0.0,0.09108269593282164,0.10787698001385372,0.7906151432203063,0.01042518083301815,0.0
Monocytes_PB205,0.10395747416968176,0.0,0.11188009004639017,0.6610789762909234,0.08283546864243194,0.04024799085057278
B cells_PB206,0.0788070194338215,0.2584966813823467,0.07857374785821594,0.34108761340952526,0.09937265073950208,0.14366228717658852
Monocytes_PB207,0.5200764562218665,0.0771477139479336,0.1036662531782353,0.15080360167697235,0.14830597497499234,0.0
Monocytes_PB208,0.06086205468446381,0.04327868204912334,0.07811689803785618,0.6370597728796008,0.14453386625602657,0.03614872609292933
Monocytes_PB209,0.30850040181180327,0.15793284625339166,0.11179782101224735,0.07259094011245143,0.0,0.3491779908101063
