,B cells,DC,HSC,Monocytes,NK cells,T cells
Monocytes_PB81,0.0,0.08878696153848686,0.3903511047898996,0.43840594145218803,0.0,0.08245599221942541
Monocytes_PB82,0.0,0.021260321992307003,0.3735416461487508,0.3532902140347891,0.0,0.25190781782415306
T cells_PB83,0.054114735538360555,0.25641636859419176,0.34088570392460227,0.07937347330635615,0.0026423175014458314,0.2665674011350434
DC_PB84,0.0,0.41152748950977563,0.2926348960857694,0.1651188769802427,0.0,0.13071873742421225
DC_PB85,0.0,0.6399953994357601,0.2518982799967308,0.0,0.0,0.10810632056750899
NK cells_PB86,0.0,0.20592662953668966,0.34194224242391896,0.1269539067664644,0.229742588778659,0.09543463249426798
HSC_PB87,0.015559384315718195,0.02806551347886078,0.7832647075183111,0.0,0.0,0.17311039468710993
NK cells_PB88,0.0,0.0,0.3103966438645665,0.0,0.499838309123814,0.18976504701161945
B cells_PB89,0.7111211606776128,0.0,0.25004891926995043,0.0,0.0,0.038829920052436684
HSC_PB90,0.0,0.15941984997549827,0.6183795357059579,0.030317714964218517,0.03810000054298898,0.15378289881133625
HSC_PB91,0.015449194727548536,0.19669622499997336,0.47907283444733617,0.1855196253996772,0.0,0.12326212042546474
Monocytes_PB92,0.0,0.1253260281987609,0.30438454088516487,0.3455247374957732,0.0,0.22476469342030087
DC_PB93,0.0,0.8518916640883593,0.14810833591164077,0.0,0.0,0.0
HSC_PB94,0.0,0.09298796914517118,0.7570126764147148,0.019092065209354043,0.004637612333859732,0.1262696768969004
DC_PB95,0.0,0.8594961418105215,0.14050385818947864,0.0,0.0,0.0
Monocytes_PB96,0.0,0.09752236060295055,0.3698498499561182,0.22881824510903953,0.0,0.30380954433189183
HSC_PB97,0.0061442194053110254,0.10358108137632517,0.6950354909455726,0.10852772998719847,0.0,0.08671147828559286
DC_PB98,0.0,0.6792967095390253,0.26025638080196245,0.0,0.0,0.060446909659012324
DC_PB99,0.0,0.39128900351254436,0.30062888686804984,0.10775523492849187,0.0,0.20032687469091404
HSC_PB100,0.0,0.1292720282115958,0.5008633701952006,0.06334641625289385,0.0,0.3065181853403098
T cells_PB101,0.05177845093978766,0.15480317045700728,0.33819636654389884,0.3113351424320397,0.11612627146583682,0.027760598161429707
HSC_PB102,0.0,0.09619638730259764,0.7282506392761018,0.022090897869822792,0.0,0.15346207555147778
B cells_PB103,0.2940101759374117,0.18154342617679975,0.3324149656278892,0.12029510907198433,0.0,0.07173632318591508
B cells_PB104,0.43541889264866046,0.09455062563460939,0.36019999039685024,0.0,0.0,0.10983049131987997
DC_PB105,0.0,0.8697238280068327,0.11154605329705948,0.018730118696107793,0.0,0.0
Monocytes_PB106,0.0,0.2151297077678528,0.31334408926680735,0.0,0.01570832850430688,0.4558178744610329
T cells_PB107,0.0,0.3546584533285852,0.29801950719494563,0.1783642477476803,0.0,0.16895779172878897
NK cells_PB108,0.0,0.1027811167974252,0.2938645080736548,0.0,0.510195555550516,0.09315881957840406
