"","NK cells","T cells","Monocytes","B cells"
"Monocytes_PB109",0.00571833515204401,0.68749437602002,0.222335585440641,0.0844517033872946
"NK cells_PB110",0.0879266347381526,0.60240523625334,0.289129093310353,0.0205390356981541
"B cells_PB111",0,0.430502621072772,0.254533273975028,0.3149641049522
"B cells_PB112",0.00157455177779588,0.510831877511784,0.314732904106858,0.172860666603562
"B cells_PB113",0.00202372718415147,0.136181259652085,0.0960168193141435,0.76577819384962
"B cells_PB114",0.0241496944020463,0.185353778321431,0.117974737545278,0.672521789731244
"Monocytes_PB115",0.00690000656051859,0.47221786211488,0.515682208755016,0.00519992256958578
"Monocytes_PB116",0.0191226229061603,0.257401405290232,0.723475971803608,0
"T cells_PB117",0.00360720742748969,0.74469924851855,0.225454827975716,0.0262387160782438
"T cells_PB118",0.0532772927231726,0.276451327034076,0.603771573310592,0.0664998069321593
"B cells_PB119",0,0.162061485398884,0.0965123631682802,0.741426151432836
"Monocytes_PB120",0.0161227187603047,0.461075830481808,0.488563638667653,0.0342378120902343
"T cells_PB121",0,0.737289399802856,0.226697594381154,0.0360130058159895
"Monocytes_PB122",0.00986609708605845,0.222389097509138,0.767744805404803,0
"T cells_PB123",0.0302413433916364,0.39858250934434,0.493181896355642,0.0779942509083816
"T cells_PB124",0.0797241684057991,0.213374595719991,0.563448426688582,0.143452809185628
"Monocytes_PB125",0,0.652388426078709,0.275362792617934,0.0722487813033574
"B cells_PB126",0.0157374555798935,0.336458568342568,0.237490163695385,0.410313812382154
"B cells_PB127",0.00925133302749924,0.189519162490835,0.147590609665807,0.653638894815859
"Monocytes_PB128",0.00411681621022899,0.272459010635575,0.678744100769455,0.0446800723847413
"B cells_PB129",0.0209393513485436,0.603660386453151,0.340678362310542,0.0347218998877633
"Monocytes_PB130",0.0058737743510663,0.481737705830503,0.482951518440739,0.0294370013776918
"Monocytes_PB131",0.019886274449144,0.573158604262689,0.390655380671663,0.0162997406165037
"B cells_PB132",0.00306191320535967,0.512011990787945,0.242560962519066,0.24236513348763
"NK cells_PB133",0.13006651395862,0.561319770016402,0.274722131710692,0.0338915843142867
"B cells_PB134",0.0363918264810238,0.41354627555661,0.208200643309095,0.341861254653271
"Monocytes_PB135",0.00209302177902977,0.239076855884306,0.758830122336664,0
"NK cells_PB136",0.293906227355236,0.443938476787611,0.244984549010107,0.0171707468470469
"Monocytes_PB137",0.00150297037902544,0.514807991733933,0.46095674297477,0.0227322949122716
"Monocytes_PB138",0.0105510471825625,0.434438655590299,0.555010297227139,0
"NK cells_PB139",0.271656087886498,0.451715676530136,0.252976202769112,0.0236520328142544
"NK cells_PB140",0.693930754120612,0.186371969311323,0.118972486184192,0.000724790383872036
"NK cells_PB141",0.724352520557802,0.204280378984933,0.0679001565840889,0.00346694387317659
"Monocytes_PB142",0.00956703966585254,0.687165886228811,0.269225346942546,0.0340417271627902
"NK cells_PB143",0.378316820989102,0.371350165641972,0.240626688305446,0.00970632506348136
"Monocytes_PB144",0.00197413158254237,0.610481464133807,0.309594513151753,0.0779498911318976
"T cells_PB145",0.0351465794936129,0.421333531723857,0.449758442909038,0.0937614458734929
"T cells_PB146",0.0865405062727675,0.175974014076333,0.611222766326078,0.126262713324821
"NK cells_PB147",0.432800088498978,0.359704626201174,0.186290225207017,0.0212050600928312
"Monocytes_PB148",0.00269116285553673,0.502828776503022,0.469421172115005,0.025058888526437
"Monocytes_PB149",0.00733126655549583,0.810779249449895,0.118501229309136,0.0633882546854732
"NK cells_PB150",0.272808939373744,0.431603005200615,0.290522917018223,0.00506513840741843
"B cells_PB151",0.0143720253505506,0.134318303002109,0.108611111918956,0.742698559728385
"NK cells_PB152",0.241511374863169,0.431728751514243,0.265191761877444,0.0615681117451443
"T cells_PB153",0.0551845325190089,0.226305748913926,0.596897257854741,0.121612460712324
"Monocytes_PB154",0.0117652966707066,0.539431099282522,0.430051082156867,0.0187525218899041
"B cells_PB155",0,0.103960561733016,0.0880424238059595,0.807997014461025
"T cells_PB156",0.0415626483139099,0.334456257812327,0.504989677564549,0.118991416309214
"NK cells_PB157",0.493062973030449,0.342582191280211,0.15480043340816,0.00955440228117969
"T cells_PB158",0.00392090120386572,0.721233597860001,0.248105368012468,0.0267401329236658
"NK cells_PB159",0.215189947985209,0.497274643033485,0.287535408981306,0
"NK cells_PB160",0.554564129599565,0.277265505829957,0.148085951144318,0.0200844134261604
"B cells_PB161",0.00348617897659388,0.452935141497009,0.207716876453869,0.335861803072528
"NK cells_PB162",0.474864567989226,0.325182867437277,0.187725828315979,0.012226736257518
"T cells_PB163",0.0367994446697728,0.59580602045174,0.367394534878487,0
"NK cells_PB164",0.402685607142382,0.386784205501303,0.195543852723249,0.0149863346330658
"Monocytes_PB165",0.00437289086509018,0.745282236258872,0.162662894424209,0.0876819784518286
"Monocytes_PB166",0.00500581167900324,0.315333322678436,0.67966086564256,0
"T cells_PB167",0.0128856478825298,0.425474073206656,0.449771655948018,0.111868622962796
