"","NK cells","T cells","Monocytes","B cells"
"Monocytes_PB64",0.0167924418178335,0.561620228058226,0.246534918587801,0.17505241153614
"B cells_PB65",2.17406046198644e-05,0.421407658040926,0.125544780402973,0.453025820951482
"B cells_PB66",9.116577899275e-08,0.248931710257053,0.0847576433193806,0.666310555257787
"Monocytes_PB67",0.0128027624370684,0.737434464856259,0.095613285358763,0.154149487347909
"Monocytes_PB68",1.10332374835005e-08,0.370702350343618,0.446136989324289,0.183160649298855
"T cells_PB69",0.0247927001309613,0.323134134987819,0.397395999051286,0.254677165829934
"Monocytes_PB70",2.82992494328551e-06,0.265196494542338,0.699628009919187,0.0351726656135314
"B cells_PB71",8.71006609678869e-20,0.147959175715965,0.0401256121584587,0.811915212125576
"T cells_PB72",0.0422575179120978,0.401175917192854,0.318323876416049,0.238242688479
"B cells_PB73",8.2616215458467e-06,0.506892275746781,0.170838784683562,0.322260677948111
"B cells_PB74",-2.63915585177806e-19,0.145821467226213,0.0225353052004354,0.831643227573352
"T cells_PB75",1.08915954062785e-05,0.639790208123637,0.175701187628213,0.184497712652744
"NK cells_PB76",0.415601159765292,0.346950464645769,0.0642806072175418,0.173167768371397
"Monocytes_PB77",3.26605684881487e-07,0.41234639370628,0.499921052659668,0.0877322270283677
"Monocytes_PB78",0.00323848030895706,0.724283899025074,0.0630787745570326,0.209398846108937
"B cells_PB79",1.00608893015523e-10,0.44194172630812,0.0842237883980822,0.473834485193188
"B cells_PB80",0.0116563949123678,0.523493031514571,0.170003098700388,0.294847474872673
"B cells_PB81",-4.03829699065547e-19,0.160625789982041,0.0267407964066201,0.812633413611339
"B cells_PB82",-3.27562998275244e-20,0.214178718806373,0.056232735997168,0.729588545196459
"Monocytes_PB83",0.0118725265760278,0.658118304674845,0.219373283630097,0.11063588511903
"NK cells_PB84",0.025049596348337,0.561310980245334,0.152090108852457,0.261549314553872
"T cells_PB85",0.0217489840022102,0.481854313210122,0.260356738257289,0.236039964530378
"NK cells_PB86",0.246129831968205,0.489484714077549,0.167386272930631,0.0969991810236157
"T cells_PB87",2.92933289451206e-05,0.736678592536644,0.168148756844417,0.095143357289994
"NK cells_PB88",0.469109040493652,0.402139268812893,0.0954316955133963,0.0333199951800592
"NK cells_PB89",0.607395553484223,0.31404405583441,0.0606847175710195,0.0178756731103479
"T cells_PB90",4.65494998131816e-06,0.552751111581453,0.191663984483891,0.255580248984675
"T cells_PB91",0.0423613965231201,0.347688079776377,0.386729546135675,0.223220977564828
"Monocytes_PB92",3.69785465648213e-07,0.405738265743535,0.411496340765769,0.18276502370523
"NK cells_PB93",0.507640634909948,0.410086116161645,0.0427457338665835,0.0395275150618242
"B cells_PB94",-2.141962007567e-19,0.237501989145606,0.0681665809300437,0.69433142992435
"B cells_PB95",-1.06020732147195e-19,0.145721325703555,0.0230165743405358,0.831262099955909
"B cells_PB96",0.00295564766161004,0.240355897248837,0.0528404588126762,0.703847996276876
"B cells_PB97",-5.80051404302995e-20,0.236207225098015,0.0889474624902632,0.674845312411721
"Monocytes_PB98",1.24311654115298e-05,0.631435182694824,0.290506113940137,0.0780462721996269
"NK cells_PB99",0.0783149852653978,0.522827746257471,0.22741192366847,0.171445344808661
"Monocytes_PB100",0.0358742762824497,0.657974697957252,0.0904225303123385,0.215728495447959
"Monocytes_PB101",3.5582941678062e-07,0.709909828121508,0.0306199807124907,0.259469835336584
"T cells_PB102",0.00255102612185473,0.681878486953615,0.227803832159032,0.0877666547654982
"NK cells_PB103",0.213515755624641,0.430128761066946,0.154412770748652,0.201942712559761
"B cells_PB104",-5.91609507552294e-19,0.31564986729597,0.0981101649593039,0.586239967744726
"NK cells_PB105",0.353122598363197,0.543053917071512,0.039026667417873,0.0647968171474182
"Monocytes_PB106",2.18708049796375e-05,0.639697860746928,0.165601840478746,0.194678427969346
"NK cells_PB107",0.305157703314545,0.414326310445683,0.151422666430567,0.129093319809204
"Monocytes_PB108",1.29579674777172e-07,0.470587407875038,0.432561627473151,0.0968508350721359
"B cells_PB109",1.0810414309544e-08,0.508864605599807,0.122877662809475,0.368257720780304
"Monocytes_PB110",0.0104191687218888,0.711944858862831,0.0552335448795953,0.222402427535685
"T cells_PB111",0.0456472801159352,0.447966142133377,0.315507336422943,0.190879241327744
"NK cells_PB112",0.136310404751884,0.530665808570581,0.178582943651961,0.154440843025574
"T cells_PB113",6.92100420790687e-07,0.804500440800138,0.08844368676401,0.107055180335431
"T cells_PB114",6.95179781865884e-07,0.750931637985404,0.148432046676931,0.100635620157883
"B cells_PB115",1.92937554315654e-19,0.201037811631678,0.0425707821299317,0.756391406238391
"Monocytes_PB116",-1.35922485730654e-20,0.299373974350449,0.512951585436327,0.187674440213224
"Monocytes_PB117",8.26833550336123e-08,0.449536553676805,0.428376711601621,0.122086652038219
