"","NK cells","T cells","Monocytes","B cells"
"NK cells_PB29",0.695680637038131,0,0.207903391537777,0.0964159714240924
"NK cells_PB30",0.247358444154243,0.107286374589958,0.531112102871533,0.114243078384266
"T cells_PB31",0.237987628962403,0.0744654082884106,0.538207613241687,0.1493393495075
"NK cells_PB32",0.355775624058751,0.0406432604513834,0.441326793580448,0.162254321909418
"B cells_PB33",0.246088652294893,0.0876076017837539,0.456843554668937,0.209460191252416
"T cells_PB34",0.184470622384435,0.352049842559952,0.350636773864946,0.112842761190667
"B cells_PB35",0.0648085835569751,0,0.082348738438285,0.85284267800474
"B cells_PB36",0.0712281166310813,0,0.100592681583966,0.828179201784953
"NK cells_PB37",0.527238264312208,0,0.370683928994137,0.102077806693655
"Monocytes_PB38",0.279270540468537,0.194332310186847,0.426079869827028,0.100317279517588
"B cells_PB39",0.103516895334524,0,0.22045111233236,0.676031992333116
"T cells_PB40",0.295746518282211,0,0.580791635087331,0.123461846630458
"T cells_PB41",0.192868378821083,0,0.728589477838748,0.0785421433401698
"NK cells_PB42",0.577253463036922,0,0.337962712292492,0.0847838246705864
"NK cells_PB43",0.218458143038531,0.0580195197335664,0.505147768494381,0.218374568733522
"Monocytes_PB44",0.0523563265823615,0,0.942829862704365,0.00481381071327397
"T cells_PB45",0.168936900062081,0,0.726569819985469,0.10449327995245
"B cells_PB46",0.0870981083569699,0,0.220080989337809,0.692820902305221
"B cells_PB47",0.164667769848151,0,0.390899790306657,0.444432439845192
"Monocytes_PB48",0.125642998609612,0,0.856904637156286,0.0174523642341019
"NK cells_PB49",0.626471824490013,0,0.299501432879431,0.0740267426305566
"NK cells_PB50",0.370429863364837,0.0864028546626323,0.403858488167605,0.139308793804926
"NK cells_PB51",0.877801218271421,0,0.109296271241288,0.0129025104872911
"B cells_PB52",0.0673422159250721,0,0.217201476413733,0.715456307661195
"Monocytes_PB53",0.0429120504618504,0,0.953659773067011,0.00342817647113909
"T cells_PB54",0.258897066196062,0.321135443665924,0.325856506398993,0.094110983739021
"T cells_PB55",0.251797157245339,0.0119474146669246,0.579772130120432,0.156483297967304
"NK cells_PB56",0.892067141146344,0,0.0895921286512911,0.0183407302023646
"T cells_PB57",0.219234865265337,0,0.724160928425514,0.0566042063091497
"Monocytes_PB58",0.236036648802641,0.0171190694413882,0.61738810604528,0.129456175710691
"NK cells_PB59",0.229421927204675,0.0367787313320723,0.507404012307366,0.226395329155886
"B cells_PB60",0.152123470525896,0,0.440491475462171,0.407385054011933
"B cells_PB61",0.147604577218354,0,0.411160391912478,0.441235030869168
"NK cells_PB62",0.417892792095817,0,0.477712109475587,0.104395098428596
"T cells_PB63",0.215074776468481,0.275427126586428,0.388003616195327,0.121494480749764
"B cells_PB64",0.169068517869172,0,0.367179050509904,0.463752431620924
"B cells_PB65",0.178296038574032,0,0.398060810346225,0.423643151079743
"T cells_PB66",0.304366600074449,0,0.461736363571626,0.233897036353925
"NK cells_PB67",0.307490865871367,0.0932168803605951,0.462797941095392,0.136494312672646
"Monocytes_PB68",0.0526423707487364,0,0.947357629251264,0
"B cells_PB69",0.281296137810457,0,0.396790922194433,0.32191293999511
"B cells_PB70",0.0444739011018576,0,0.088287013718336,0.867239085179806
"Monocytes_PB71",0.0476505840958351,0,0.940694509078479,0.0116549068256861
"T cells_PB72",0.181232959709895,0,0.731396174307109,0.0873708659829961
"NK cells_PB73",0.199425016965122,0.146479471437928,0.543256367172455,0.110839144424495
"Monocytes_PB74",0.0593803610034986,0,0.931938174359757,0.00868146463674409
"Monocytes_PB75",0.0834159980631063,0,0.897299688017891,0.0192843139190023
"Monocytes_PB76",0.0626956506746634,0,0.921428415734504,0.0158759335908329
"T cells_PB77",0.245157860574479,0.0892688564094693,0.413430546037557,0.252142736978495
"B cells_PB78",0.179749740451058,0.0023186957995287,0.443799767692074,0.374131796057339
"T cells_PB79",0.279027661698026,0,0.633474698923195,0.0874976393787788
"B cells_PB80",0.175007139190936,0,0.508520378016148,0.316472482792916
"T cells_PB81",0.198934379307523,0.238081031203352,0.405866126654243,0.157118462834882
"T cells_PB82",0.286827359126059,0.0945821916316584,0.48302704020321,0.135563409039073
"B cells_PB83",0.149814452035003,0,0.408170431943523,0.442015116021474
