"","NK cells","T cells","Monocytes","B cells"
"B cells_PB93",0.0468540620669272,0.243120596113362,0.0741002599516643,0.635925081868047
"T cells_PB94",0.101902780546824,0.474283547618598,0.300456912030169,0.123356759804409
"B cells_PB95",0.0222841207834316,0.177270638446558,0.0783436961015562,0.722101544668454
"NK cells_PB96",0.376714596296745,0.367445100247435,0.105495265220016,0.150345038235804
"Monocytes_PB97",0.0903393296369474,0.338980086361131,0.536280763681082,0.0343998203208397
"B cells_PB98",0.0885004297934747,0.377177546195753,0.146359645037961,0.387962378972811
"B cells_PB99",0.104832572480848,0.548845750747652,0.230647874033607,0.115673802737893
"T cells_PB100",0.251809832175903,0.167194369480145,0.433234143627142,0.14776165471681
"Monocytes_PB101",0.102043266413935,0.66114238553123,0.128117809744739,0.108696538310096
"T cells_PB102",0.132358483027591,0.515687275089159,0.276235437667112,0.0757188042161376
"T cells_PB103",0.2283911986908,0.332971062488553,0.303907369733543,0.134730369087104
"Monocytes_PB104",0.0861654181818857,0.360420918617432,0.522179322870664,0.0312343403300189
"B cells_PB105",0.035899919693887,0.0962494170165015,0.0279186712799624,0.839931992009649
"NK cells_PB106",0.231473201339029,0.33835544519501,0.208670078948222,0.221501274517739
"B cells_PB107",0.109493225936022,0.394312318398548,0.117400256396078,0.378794199269352
"NK cells_PB108",0.619233320670379,0.240231657712671,0.0992054454471658,0.0413295761697841
"B cells_PB109",0.0726072978003053,0.440388847260456,0.224223627384938,0.262780227554301
"NK cells_PB110",0.154224128069316,0.551275701604204,0.221736384639318,0.0727637856871618
"Monocytes_PB111",0.0925210612204825,0.465775918294648,0.337316453023501,0.104386567461368
"Monocytes_PB112",0.115738907343404,0.585148122229972,0.228886655933268,0.0702263144933556
"Monocytes_PB113",0.025182611987986,0.164177939871245,0.791801927064067,0.0188375210767022
"B cells_PB114",0.0625045095559056,0.161547896971868,0.0827191234430498,0.693228470029177
"T cells_PB115",0.165381853462024,0.528505631800665,0.208412480986106,0.0977000337512061
"Monocytes_PB116",0.031936584643396,0.0958210009315513,0.859091759502607,0.0131506549224458
"NK cells_PB117",0.667997085366718,0.227312321086647,0.0845058582339798,0.0201847353126557
"Monocytes_PB118",0.126720625712556,0.51350347924945,0.285083733858073,0.0746921611799211
"NK cells_PB119",0.683468706586111,0.207313218288901,0.083525853900557,0.025692221224431
"B cells_PB120",0.0662374170744814,0.243048646635155,0.14209352092518,0.548620415365183
"Monocytes_PB121",0.0625073289163003,0.156463740046264,0.75702663252228,0.024002298515156
"T cells_PB122",0.075189799944998,0.710957551557362,0.165472226259352,0.0483804222382873
"NK cells_PB123",0.307095759771736,0.428593590079632,0.202754290219168,0.0615563599294639
"T cells_PB124",0.218576959489098,0.0859824158739232,0.496442774568523,0.198997850068455
"NK cells_PB125",0.213356086326275,0.480351648131642,0.236665274743315,0.0696269907987677
"NK cells_PB126",0.37222449449815,0.405139620612585,0.194845150420849,0.0277907344684165
"B cells_PB127",0.0104479533065086,0.115094519092432,0.0351538448839155,0.839303682717144
"NK cells_PB128",0.680584380322619,0.181498794860183,0.115876346261329,0.0220404785558686
"T cells_PB129",0.270568445445627,0.116687398885611,0.42870170926739,0.184042446401372
"Monocytes_PB130",0.048317077829805,0.387285177168904,0.512589687319199,0.0518080576820914
"Monocytes_PB131",0.0700877614136644,0.416539082577487,0.465386574798811,0.0479865812100374
"T cells_PB132",0.214250352610821,0.247761619041016,0.40878744506513,0.129200583283033
"Monocytes_PB133",0.112958515164667,0.505604536840435,0.211799241129947,0.16963770686495
"NK cells_PB134",0.30564093509248,0.392590350924502,0.193154980980932,0.108613733002086
"NK cells_PB135",0.737867902029619,0.177364228830295,0.0437074131481918,0.0410604559918943
"B cells_PB136",0.0821345559754483,0.410693257509864,0.150382166200702,0.356790020313986
"B cells_PB137",0.0465591092942644,0.233380973185011,0.117716126018577,0.602343791502147
"Monocytes_PB138",0.0525837975218602,0.253899894139179,0.659371263405948,0.0341450449330124
"T cells_PB139",0.174198744236546,0.324422620308532,0.360474980573981,0.140903654880941
"Monocytes_PB140",0.0316797201428372,0.092959567366389,0.871844501418866,0.00351621107190723
"B cells_PB141",0.017966024167737,0.102026936425185,0.0376747074602301,0.842332331946848
"Monocytes_PB142",0.0981839662297972,0.520591853365627,0.308660259774655,0.0725639206299209
